"Au",4.,8.5,4.5
"Ag",4.,9.,4.
"Ag",4.,9.5,3.5
"Ag",4.,10.,3.
"Au",4.,10.5,2.5
"Au",4.,11.,2.
"Au",4.,11.5,1.5
"Au",4.,12.,1.
"Ag",4.,12.5,0.5
"Au",4.,13.,0.
"Au",4.5,0.,12.5
"Ag",4.5,0.5,12.
"Ag",4.5,1.,11.5
"Ag",4.5,1.5,11.
"Ag",4.5,2.,10.5
"Au",4.5,2.5,10.
"Au",4.5,3.,9.5
"Au",4.5,3.5,9.
"Ag",4.5,4.,8.5
"Au",4.5,4.5,8.
"Au",4.5,5.,7.5
"Au",4.5,5.5,7.
"Ag",4.5,6.,6.5
"Ag",4.5,6.5,6.
"Ag",4.5,7.,5.5
"Ag",4.5,7.5,5.
"Ag",4.5,8.,4.5
"Ag",4.5,8.5,4.
"Ag",4.5,9.,3.5
"Au",4.5,9.5,3.
"Ag",4.5,10.,2.5
"Au",4.5,10.5,2.
"Au",4.5,11.,1.5
"Au",4.5,11.5,1.
"Ag",4.5,12.,0.5
"Ag",4.5,12.5,0.
"Ag",5.,0.,12.
"Au",5.,0.5,11.5
"Au",5.,1.,11.
"Au",5.,1.5,10.5
"Au",5.,2.,10.
"Au",5.,2.5,9.5
"Au",5.,3.,9.
"Au",5.,3.5,8.5
"Ag",5.,4.,8.
"Au",5.,4.5,7.5
"Ag",5.,5.,7.
"Au",5.,5.5,6.5
"Au",5.,6.,6.
"Au",5.,6.5,5.5
"Au",5.,7.,5.
"Ag",5.,7.5,4.5
"Au",5.,8.,4.
"Ag",5.,8.5,3.5
"Au",5.,9.,3.
"Au",5.,9.5,2.5
"Ag",5.,10.,2.
"Au",5.,10.5,1.5
"Ag",5.,11.,1.
"Ag",5.,11.5,0.5
"Ag",5.,12.,0.
"Au",5.5,0.,11.5
"Au",5.5,0.5,11.
"Ag",5.5,1.,10.5
"Ag",5.5,1.5,10.
"Ag",5.5,2.,9.5
"Ag",5.5,2.5,9.
"Au",5.5,3.,8.5
"Au",5.5,3.5,8.
"Ag",5.5,4.,7.5
"Au",5.5,4.5,7.
"Ag",5.5,5.,6.5
"Au",5.5,5.5,6.
"Au",5.5,6.,5.5
"Ag",5.5,6.5,5.
"Ag",5.5,7.,4.5
"Ag",5.5,7.5,4.
"Ag",5.5,8.,3.5
"Au",5.5,8.5,3.
"Au",5.5,9.,2.5
"Ag",5.5,9.5,2.
"Ag",5.5,10.,1.5
"Ag",5.5,10.5,1.
"Ag",5.5,11.,0.5
"Au",5.5,11.5,0.
"Au",6.,0.,11.
"Ag",6.,0.5,10.5
"Au",6.,1.,10.
"Au",6.,1.5,9.5
"Au",6.,2.,9.
"Au",6.,2.5,8.5
"Ag",6.,3.,8.
"Au",6.,3.5,7.5
"Ag",6.,4.,7.
"Ag",6.,4.5,6.5
"Au",6.,5.,6.
"Au",6.,5.5,5.5
"Ag",6.,6.,5.
"Au",6.,6.5,4.5
"Ag",6.,7.,4.
"Au",6.,7.5,3.5
"Au",6.,8.,3.
"Au",6.,8.5,2.5
"Au",6.,9.,2.
"Ag",6.,9.5,1.5
"Au",6.,10.,1.
"Ag",6.,10.5,0.5
"Au",6.,11.,0.
"Ag",6.5,0.,10.5
"Au",6.5,0.5,10.
"Au",6.5,1.,9.5
"Au",6.5,1.5,9.
"Ag",6.5,2.,8.5
"Ag",6.5,2.5,8.
"Au",6.5,3.,7.5
"Au",6.5,3.5,7.
"Ag",6.5,4.,6.5
"Au",6.5,4.5,6.
"Ag",6.5,5.,5.5
"Ag",6.5,5.5,5.
"Ag",6.5,6.,4.5
"Ag",6.5,6.5,4.
"Ag",6.5,7.,3.5
"Ag",6.5,7.5,3.
"Au",6.5,8.,2.5
"Au",6.5,8.5,2.
"Au",6.5,9.,1.5
"Ag",6.5,9.5,1.
"Au",6.5,10.,0.5
"Au",6.5,10.5,0.
"Ag",7.,0.,10.
"Ag",7.,0.5,9.5
"Ag",7.,1.,9.
"Ag",7.,1.5,8.5
"Ag",7.,2.,8.
"Au",7.,2.5,7.5
"Au",7.,3.,7.
"Au",7.,3.5,6.5
"Ag",7.,4.,6.
"Au",7.,4.5,5.5
"Au",7.,5.,5.
"Au",7.,5.5,4.5
"Ag",7.,6.,4.
"Ag",7.,6.5,3.5
"Au",7.,7.,3.
"Au",7.,7.5,2.5
"Au",7.,8.,2.
"Au",7.,8.5,1.5
"Au",7.,9.,1.
"Au",7.,9.5,0.5
"Au",7.,10.,0.
"Au",7.5,0.,9.5
"Ag",7.5,0.5,9.
"Ag",7.5,1.,8.5
"Ag",7.5,1.5,8.
"Au",7.5,2.,7.5
"Ag",7.5,2.5,7.
"Au",7.5,3.,6.5
"Ag",7.5,3.5,6.
"Ag",7.5,4.,5.5
"Ag",7.5,4.5,5.
"Au",7.5,5.,4.5
"Ag",7.5,5.5,4.
